time_band,group_id,size
10:30 - 10:40,1,3
10:40 - 10:50,2,4
10:50 - 11:00,3,2
10:50 - 11:00,4,4
10:50 - 11:00,5,4
11:00 - 11:10,6,1
11:00 - 11:10,7,3
11:00 - 11:10,8,4
11:00 - 11:10,9,2
11:00 - 11:10,10,3
11:00 - 11:10,11,3
11:00 - 11:10,12,3
11:10 - 11:20,13,3
11:10 - 11:20,14,2
11:10 - 11:20,15,4
11:10 - 11:20,16,2
11:10 - 11:20,17,2
11:10 - 11:20,18,1
11:10 - 11:20,19,2
11:10 - 11:20,20,5
11:10 - 11:20,21,3
11:10 - 11:20,22,1
11:10 - 11:20,23,4
11:20 - 11:30,24,2
11:20 - 11:30,25,4
11:20 - 11:30,26,5
11:20 - 11:30,27,2
11:20 - 11:30,28,1
11:20 - 11:30,29,3
11:20 - 11:30,30,5
11:20 - 11:30,31,3
11:20 - 11:30,32,2
11:20 - 11:30,33,4
11:20 - 11:30,34,5
11:30 - 11:40,35,3
11:30 - 11:40,36,3
11:30 - 11:40,37,2
11:30 - 11:40,38,4
11:30 - 11:40,39,3
11:30 - 11:40,40,2
11:30 - 11:40,41,2
11:30 - 11:40,42,1
11:30 - 11:40,43,2
11:30 - 11:40,44,3
11:30 - 11:40,45,3
11:30 - 11:40,46,2
11:30 - 11:40,47,4
11:30 - 11:40,48,4
11:40 - 11:50,49,1
11:40 - 11:50,50,4
11:40 - 11:50,51,1
11:40 - 11:50,52,4
11:40 - 11:50,53,2
11:40 - 11:50,54,2
11:40 - 11:50,55,3
11:40 - 11:50,56,4
11:40 - 11:50,57,4
11:40 - 11:50,58,4
11:40 - 11:50,59,2
11:40 - 11:50,60,4
11:50 - 12:00,61,5
11:50 - 12:00,62,5
11:50 - 12:00,63,3
11:50 - 12:00,64,4
11:50 - 12:00,65,2
11:50 - 12:00,66,2
11:50 - 12:00,67,2
11:50 - 12:00,68,3
12:00 - 12:10,69,2
12:00 - 12:10,70,3
12:00 - 12:10,71,4
12:00 - 12:10,72,2
12:00 - 12:10,73,2
12:10 - 12:20,74,2
12:10 - 12:20,75,1
12:10 - 12:20,76,4
12:10 - 12:20,77,4
12:20 - 12:30,78,3
12:20 - 12:30,79,4
12:20 - 12:30,80,2
12:20 - 12:30,81,1
12:20 - 12:30,82,2
12:20 - 12:30,83,2
12:30 - 12:40,84,2
12:30 - 12:40,85,3
12:30 - 12:40,86,3
12:30 - 12:40,87,3
12:30 - 12:40,88,3
12:30 - 12:40,89,2
12:30 - 12:40,90,2
12:40 - 12:50,91,3
12:40 - 12:50,92,3
12:40 - 12:50,93,2
12:40 - 12:50,94,4
12:40 - 12:50,95,5
12:40 - 12:50,96,3
12:40 - 12:50,97,2
12:40 - 12:50,98,2
12:50 - 13:00,99,3
12:50 - 13:00,100,2
12:50 - 13:00,101,3
12:50 - 13:00,102,3
12:50 - 13:00,103,4
12:50 - 13:00,104,2
12:50 - 13:00,105,3
12:50 - 13:00,106,4
12:50 - 13:00,107,3
12:50 - 13:00,108,4
13:00 - 13:10,109,2
13:00 - 13:10,110,5
13:00 - 13:10,111,3
13:00 - 13:10,112,2
13:00 - 13:10,113,2
13:00 - 13:10,114,4
13:00 - 13:10,115,1
13:00 - 13:10,116,5
13:00 - 13:10,117,2
13:00 - 13:10,118,3
13:00 - 13:10,119,2
13:00 - 13:10,120,4
13:00 - 13:10,121,3
13:00 - 13:10,122,3
13:10 - 13:20,123,3
13:10 - 13:20,124,2
13:10 - 13:20,125,3
13:10 - 13:20,126,1
13:10 - 13:20,127,4
13:10 - 13:20,128,1
13:10 - 13:20,129,3
13:10 - 13:20,130,1
13:10 - 13:20,131,4
13:10 - 13:20,132,2
13:10 - 13:20,133,5
13:10 - 13:20,134,1
13:10 - 13:20,135,4
13:10 - 13:20,136,3
13:10 - 13:20,137,4
13:20 - 13:30,138,4
13:20 - 13:30,139,3
13:20 - 13:30,140,3
13:20 - 13:30,141,3
13:20 - 13:30,142,4
13:20 - 13:30,143,3
13:20 - 13:30,144,4
13:20 - 13:30,145,5
13:20 - 13:30,146,5
13:20 - 13:30,147,3
13:20 - 13:30,148,3
13:20 - 13:30,149,4
13:20 - 13:30,150,3
13:20 - 13:30,151,4
13:30 - 13:40,152,2
13:30 - 13:40,153,3
13:30 - 13:40,154,2
13:30 - 13:40,155,3
13:30 - 13:40,156,3
13:30 - 13:40,157,4
13:30 - 13:40,158,3
13:30 - 13:40,159,5
13:30 - 13:40,160,5
13:30 - 13:40,161,3
13:30 - 13:40,162,3
13:30 - 13:40,163,1
13:30 - 13:40,164,3
13:30 - 13:40,165,2
13:30 - 13:40,166,1
13:40 - 13:50,167,4
13:40 - 13:50,168,4
13:40 - 13:50,169,3
13:40 - 13:50,170,3
13:40 - 13:50,171,4
13:40 - 13:50,172,4
13:40 - 13:50,173,3
13:40 - 13:50,174,3
13:40 - 13:50,175,3
13:40 - 13:50,176,1
13:40 - 13:50,177,4
13:40 - 13:50,178,3
13:50 - 14:00,179,5
13:50 - 14:00,180,4
13:50 - 14:00,181,3
13:50 - 14:00,182,3
13:50 - 14:00,183,2
13:50 - 14:00,184,4
13:50 - 14:00,185,2
13:50 - 14:00,186,1
13:50 - 14:00,187,3
13:50 - 14:00,188,5
14:00 - 14:10,189,5
14:00 - 14:10,190,3
14:00 - 14:10,191,4
14:00 - 14:10,192,3
14:00 - 14:10,193,1
14:00 - 14:10,194,4
14:00 - 14:10,195,5
14:10 - 14:20,196,2
14:10 - 14:20,197,5
14:10 - 14:20,198,3
14:10 - 14:20,199,3
14:20 - 14:30,200,4
14:20 - 14:30,201,3
14:20 - 14:30,202,4
14:30 - 14:40,203,4
14:30 - 14:40,204,4
14:40 - 14:50,205,4
14:40 - 14:50,206,1
14:50 - 15:00,207,2
14:50 - 15:00,208,3
14:50 - 15:00,209,4
14:50 - 15:00,210,3
15:00 - 15:10,211,5
15:00 - 15:10,212,2
15:00 - 15:10,213,2
15:00 - 15:10,214,2
15:10 - 15:20,215,2
15:10 - 15:20,216,4
15:10 - 15:20,217,3
15:10 - 15:20,218,4
15:10 - 15:20,219,3
15:20 - 15:30,220,3
15:20 - 15:30,221,2
15:20 - 15:30,222,3
15:20 - 15:30,223,3
15:20 - 15:30,224,3
15:20 - 15:30,225,3
15:20 - 15:30,226,3
15:30 - 15:40,227,2
15:30 - 15:40,228,3
15:30 - 15:40,229,3
15:30 - 15:40,230,1
15:30 - 15:40,231,2
15:30 - 15:40,232,1
15:30 - 15:40,233,3
15:30 - 15:40,234,1
15:30 - 15:40,235,2
15:30 - 15:40,236,3
