time_band,group_id,size
10:30 - 10:40,1,2
10:40 - 10:50,2,3
10:50 - 11:00,3,1
10:50 - 11:00,4,4
10:50 - 11:00,5,2
11:00 - 11:10,6,4
11:00 - 11:10,7,3
11:00 - 11:10,8,3
11:00 - 11:10,9,3
11:00 - 11:10,10,1
11:00 - 11:10,11,4
11:00 - 11:10,12,3
11:10 - 11:20,13,3
11:10 - 11:20,14,5
11:10 - 11:20,15,4
11:10 - 11:20,16,3
11:10 - 11:20,17,4
11:10 - 11:20,18,2
11:10 - 11:20,19,1
11:10 - 11:20,20,5
11:10 - 11:20,21,3
11:20 - 11:30,22,4
11:20 - 11:30,23,4
11:20 - 11:30,24,3
11:20 - 11:30,25,2
11:20 - 11:30,26,3
11:20 - 11:30,27,2
11:20 - 11:30,28,3
11:20 - 11:30,29,2
11:20 - 11:30,30,1
11:20 - 11:30,31,2
11:20 - 11:30,32,3
11:20 - 11:30,33,1
11:20 - 11:30,34,5
11:30 - 11:40,35,5
11:30 - 11:40,36,4
11:30 - 11:40,37,4
11:30 - 11:40,38,2
11:30 - 11:40,39,3
11:30 - 11:40,40,4
11:30 - 11:40,41,3
11:30 - 11:40,42,4
11:30 - 11:40,43,3
11:30 - 11:40,44,3
11:30 - 11:40,45,4
11:40 - 11:50,46,3
11:40 - 11:50,47,2
11:40 - 11:50,48,3
11:40 - 11:50,49,4
11:40 - 11:50,50,4
11:40 - 11:50,51,4
11:40 - 11:50,52,3
11:40 - 11:50,53,5
11:40 - 11:50,54,2
11:40 - 11:50,55,2
11:40 - 11:50,56,3
11:50 - 12:00,57,5
11:50 - 12:00,58,4
11:50 - 12:00,59,3
11:50 - 12:00,60,4
11:50 - 12:00,61,3
11:50 - 12:00,62,3
11:50 - 12:00,63,4
12:00 - 12:10,64,2
12:00 - 12:10,65,4
12:00 - 12:10,66,5
12:00 - 12:10,67,2
12:10 - 12:20,68,3
12:10 - 12:20,69,3
12:10 - 12:20,70,4
12:10 - 12:20,71,1
12:10 - 12:20,72,1
12:20 - 12:30,73,3
12:20 - 12:30,74,4
12:20 - 12:30,75,5
12:20 - 12:30,76,2
12:30 - 12:40,77,2
12:30 - 12:40,78,3
12:30 - 12:40,79,2
12:30 - 12:40,80,2
12:30 - 12:40,81,4
12:30 - 12:40,82,2
12:30 - 12:40,83,3
12:40 - 12:50,84,4
12:40 - 12:50,85,1
12:40 - 12:50,86,3
12:40 - 12:50,87,4
12:40 - 12:50,88,3
12:40 - 12:50,89,3
12:40 - 12:50,90,4
12:40 - 12:50,91,3
12:50 - 13:00,92,5
12:50 - 13:00,93,3
12:50 - 13:00,94,5
12:50 - 13:00,95,3
12:50 - 13:00,96,4
12:50 - 13:00,97,4
12:50 - 13:00,98,3
12:50 - 13:00,99,2
13:00 - 13:10,100,3
13:00 - 13:10,101,4
13:00 - 13:10,102,3
13:00 - 13:10,103,2
13:00 - 13:10,104,4
13:00 - 13:10,105,2
13:00 - 13:10,106,2
13:00 - 13:10,107,4
13:00 - 13:10,108,3
13:00 - 13:10,109,2
13:00 - 13:10,110,3
13:00 - 13:10,111,3
13:00 - 13:10,112,2
13:00 - 13:10,113,2
13:00 - 13:10,114,1
13:00 - 13:10,115,3
13:10 - 13:20,116,3
13:10 - 13:20,117,1
13:10 - 13:20,118,3
13:10 - 13:20,119,3
13:10 - 13:20,120,3
13:10 - 13:20,121,5
13:10 - 13:20,122,3
13:10 - 13:20,123,4
13:10 - 13:20,124,1
13:10 - 13:20,125,3
13:10 - 13:20,126,4
13:10 - 13:20,127,2
13:10 - 13:20,128,3
13:10 - 13:20,129,3
13:20 - 13:30,130,4
13:20 - 13:30,131,2
13:20 - 13:30,132,4
13:20 - 13:30,133,3
13:20 - 13:30,134,2
13:20 - 13:30,135,1
13:20 - 13:30,136,2
13:20 - 13:30,137,4
13:20 - 13:30,138,5
13:20 - 13:30,139,4
13:20 - 13:30,140,3
13:20 - 13:30,141,3
13:20 - 13:30,142,3
13:20 - 13:30,143,4
13:20 - 13:30,144,2
13:20 - 13:30,145,2
13:20 - 13:30,146,4
13:30 - 13:40,147,2
13:30 - 13:40,148,3
13:30 - 13:40,149,4
13:30 - 13:40,150,3
13:30 - 13:40,151,5
13:30 - 13:40,152,2
13:30 - 13:40,153,2
13:30 - 13:40,154,3
13:30 - 13:40,155,4
13:30 - 13:40,156,2
13:30 - 13:40,157,1
13:30 - 13:40,158,4
13:30 - 13:40,159,5
13:30 - 13:40,160,2
13:40 - 13:50,161,3
13:40 - 13:50,162,4
13:40 - 13:50,163,5
13:40 - 13:50,164,2
13:40 - 13:50,165,3
13:40 - 13:50,166,2
13:40 - 13:50,167,3
13:40 - 13:50,168,3
13:40 - 13:50,169,3
13:40 - 13:50,170,4
13:40 - 13:50,171,3
13:40 - 13:50,172,4
13:40 - 13:50,173,2
13:50 - 14:00,174,3
13:50 - 14:00,175,5
13:50 - 14:00,176,3
13:50 - 14:00,177,2
13:50 - 14:00,178,4
13:50 - 14:00,179,3
13:50 - 14:00,180,3
13:50 - 14:00,181,2
13:50 - 14:00,182,4
13:50 - 14:00,183,1
14:00 - 14:10,184,1
14:00 - 14:10,185,4
