time_band,group_id,size
10:30 - 10:40,1,2
10:40 - 10:50,2,3
10:50 - 11:00,3,5
10:50 - 11:00,4,5
11:00 - 11:10,5,4
11:00 - 11:10,6,2
11:00 - 11:10,7,1
11:00 - 11:10,8,3
11:00 - 11:10,9,5
11:00 - 11:10,10,3
11:00 - 11:10,11,3
11:10 - 11:20,12,3
11:10 - 11:20,13,4
11:10 - 11:20,14,2
11:10 - 11:20,15,3
11:10 - 11:20,16,5
11:10 - 11:20,17,2
11:10 - 11:20,18,3
11:10 - 11:20,19,5
11:10 - 11:20,20,1
11:10 - 11:20,21,1
11:20 - 11:30,22,1
11:20 - 11:30,23,3
11:20 - 11:30,24,2
11:20 - 11:30,25,4
11:20 - 11:30,26,2
11:20 - 11:30,27,4
11:20 - 11:30,28,4
11:20 - 11:30,29,3
11:20 - 11:30,30,5
11:20 - 11:30,31,2
11:20 - 11:30,32,3
11:30 - 11:40,33,3
11:30 - 11:40,34,3
11:30 - 11:40,35,3
11:30 - 11:40,36,3
11:30 - 11:40,37,4
11:30 - 11:40,38,1
11:30 - 11:40,39,3
11:30 - 11:40,40,2
11:30 - 11:40,41,1
11:30 - 11:40,42,2
11:30 - 11:40,43,3
11:30 - 11:40,44,1
11:30 - 11:40,45,2
11:30 - 11:40,46,2
11:30 - 11:40,47,2
11:30 - 11:40,48,2
11:30 - 11:40,49,1
11:30 - 11:40,50,1
11:30 - 11:40,51,1
11:40 - 11:50,52,4
11:40 - 11:50,53,2
11:40 - 11:50,54,5
11:40 - 11:50,55,4
11:40 - 11:50,56,3
11:40 - 11:50,57,2
11:40 - 11:50,58,2
11:40 - 11:50,59,4
11:40 - 11:50,60,1
11:40 - 11:50,61,2
11:40 - 11:50,62,5
11:50 - 12:00,63,5
11:50 - 12:00,64,4
11:50 - 12:00,65,2
11:50 - 12:00,66,2
11:50 - 12:00,67,3
11:50 - 12:00,68,2
11:50 - 12:00,69,2
11:50 - 12:00,70,3
11:50 - 12:00,71,4
12:00 - 12:10,72,4
12:00 - 12:10,73,3
12:00 - 12:10,74,3
12:00 - 12:10,75,3
12:10 - 12:20,76,3
12:10 - 12:20,77,4
12:10 - 12:20,78,1
12:10 - 12:20,79,4
12:20 - 12:30,80,4
12:20 - 12:30,81,5
12:20 - 12:30,82,2
12:20 - 12:30,83,2
12:30 - 12:40,84,2
12:30 - 12:40,85,5
12:30 - 12:40,86,2
12:30 - 12:40,87,2
12:30 - 12:40,88,4
12:30 - 12:40,89,4
12:40 - 12:50,90,4
12:40 - 12:50,91,2
12:40 - 12:50,92,3
12:40 - 12:50,93,1
12:40 - 12:50,94,1
12:40 - 12:50,95,3
12:40 - 12:50,96,4
12:40 - 12:50,97,2
12:40 - 12:50,98,2
12:40 - 12:50,99,3
12:50 - 13:00,100,3
12:50 - 13:00,101,3
12:50 - 13:00,102,4
12:50 - 13:00,103,2
12:50 - 13:00,104,2
12:50 - 13:00,105,5
12:50 - 13:00,106,5
12:50 - 13:00,107,3
12:50 - 13:00,108,5
13:00 - 13:10,109,1
13:00 - 13:10,110,3
13:00 - 13:10,111,2
13:00 - 13:10,112,4
13:00 - 13:10,113,3
13:00 - 13:10,114,1
13:00 - 13:10,115,2
13:00 - 13:10,116,2
13:00 - 13:10,117,4
13:00 - 13:10,118,3
13:00 - 13:10,119,5
13:00 - 13:10,120,3
13:00 - 13:10,121,4
13:00 - 13:10,122,3
13:10 - 13:20,123,4
13:10 - 13:20,124,4
13:10 - 13:20,125,3
13:10 - 13:20,126,2
13:10 - 13:20,127,2
13:10 - 13:20,128,2
13:10 - 13:20,129,2
13:10 - 13:20,130,3
13:10 - 13:20,131,5
13:10 - 13:20,132,4
13:10 - 13:20,133,3
13:10 - 13:20,134,3
13:10 - 13:20,135,3
13:20 - 13:30,136,2
13:20 - 13:30,137,1
13:20 - 13:30,138,2
13:20 - 13:30,139,3
13:20 - 13:30,140,2
13:20 - 13:30,141,3
13:20 - 13:30,142,3
13:20 - 13:30,143,3
13:20 - 13:30,144,2
13:20 - 13:30,145,4
13:20 - 13:30,146,3
13:20 - 13:30,147,3
13:20 - 13:30,148,1
13:20 - 13:30,149,4
13:20 - 13:30,150,4
13:20 - 13:30,151,2
13:20 - 13:30,152,5
13:20 - 13:30,153,3
13:30 - 13:40,154,4
13:30 - 13:40,155,2
13:30 - 13:40,156,3
13:30 - 13:40,157,4
13:30 - 13:40,158,2
13:30 - 13:40,159,1
13:30 - 13:40,160,2
13:30 - 13:40,161,2
13:30 - 13:40,162,3
13:30 - 13:40,163,3
13:30 - 13:40,164,2
13:30 - 13:40,165,3
13:30 - 13:40,166,3
13:30 - 13:40,167,3
13:30 - 13:40,168,5
13:40 - 13:50,169,1
13:40 - 13:50,170,2
13:40 - 13:50,171,1
13:40 - 13:50,172,1
13:40 - 13:50,173,5
13:40 - 13:50,174,2
13:40 - 13:50,175,4
13:40 - 13:50,176,2
13:40 - 13:50,177,4
13:40 - 13:50,178,2
13:40 - 13:50,179,1
13:40 - 13:50,180,1
13:40 - 13:50,181,3
13:40 - 13:50,182,2
13:40 - 13:50,183,2
13:40 - 13:50,184,4
13:40 - 13:50,185,4
