time_band,group_id,size
10:30 - 10:40,1,2
10:40 - 10:50,2,2
10:40 - 10:50,3,3
10:50 - 11:00,4,3
10:50 - 11:00,5,5
11:00 - 11:10,6,2
11:00 - 11:10,7,3
11:00 - 11:10,8,4
11:00 - 11:10,9,3
11:00 - 11:10,10,3
11:00 - 11:10,11,2
11:00 - 11:10,12,3
11:10 - 11:20,13,4
11:10 - 11:20,14,2
11:10 - 11:20,15,2
11:10 - 11:20,16,5
11:10 - 11:20,17,3
11:10 - 11:20,18,2
11:10 - 11:20,19,3
11:10 - 11:20,20,4
11:10 - 11:20,21,2
11:10 - 11:20,22,3
11:20 - 11:30,23,5
11:20 - 11:30,24,5
11:20 - 11:30,25,5
11:20 - 11:30,26,3
11:20 - 11:30,27,2
11:20 - 11:30,28,3
11:20 - 11:30,29,2
11:20 - 11:30,30,3
11:20 - 11:30,31,3
11:20 - 11:30,32,3
11:30 - 11:40,33,1
11:30 - 11:40,34,5
11:30 - 11:40,35,2
11:30 - 11:40,36,3
11:30 - 11:40,37,3
11:30 - 11:40,38,1
11:30 - 11:40,39,4
11:30 - 11:40,40,5
11:30 - 11:40,41,2
11:30 - 11:40,42,4
11:30 - 11:40,43,3
11:30 - 11:40,44,5
11:30 - 11:40,45,2
11:40 - 11:50,46,1
11:40 - 11:50,47,3
11:40 - 11:50,48,5
11:40 - 11:50,49,2
11:40 - 11:50,50,3
11:40 - 11:50,51,3
11:40 - 11:50,52,4
11:40 - 11:50,53,4
11:40 - 11:50,54,2
11:40 - 11:50,55,4
11:40 - 11:50,56,2
11:50 - 12:00,57,3
11:50 - 12:00,58,3
11:50 - 12:00,59,3
11:50 - 12:00,60,4
11:50 - 12:00,61,2
11:50 - 12:00,62,3
11:50 - 12:00,63,2
11:50 - 12:00,64,3
11:50 - 12:00,65,2
11:50 - 12:00,66,2
12:00 - 12:10,67,2
12:00 - 12:10,68,5
12:00 - 12:10,69,4
12:00 - 12:10,70,2
12:10 - 12:20,71,2
12:10 - 12:20,72,2
12:10 - 12:20,73,2
12:10 - 12:20,74,3
12:10 - 12:20,75,2
12:10 - 12:20,76,1
12:20 - 12:30,77,4
12:20 - 12:30,78,3
12:20 - 12:30,79,3
12:20 - 12:30,80,5
12:30 - 12:40,81,3
12:30 - 12:40,82,2
12:30 - 12:40,83,2
12:30 - 12:40,84,2
12:30 - 12:40,85,2
12:30 - 12:40,86,4
12:30 - 12:40,87,2
12:40 - 12:50,88,1
12:40 - 12:50,89,2
12:40 - 12:50,90,4
12:40 - 12:50,91,2
12:40 - 12:50,92,2
12:40 - 12:50,93,1
12:40 - 12:50,94,4
12:40 - 12:50,95,4
12:40 - 12:50,96,2
12:40 - 12:50,97,2
12:50 - 13:00,98,1
12:50 - 13:00,99,2
12:50 - 13:00,100,1
12:50 - 13:00,101,4
12:50 - 13:00,102,2
12:50 - 13:00,103,2
12:50 - 13:00,104,4
12:50 - 13:00,105,3
12:50 - 13:00,106,4
12:50 - 13:00,107,4
12:50 - 13:00,108,5
13:00 - 13:10,109,4
13:00 - 13:10,110,3
13:00 - 13:10,111,5
13:00 - 13:10,112,2
13:00 - 13:10,113,5
13:00 - 13:10,114,3
13:00 - 13:10,115,5
13:00 - 13:10,116,2
13:00 - 13:10,117,3
13:00 - 13:10,118,4
13:00 - 13:10,119,3
13:00 - 13:10,120,2
13:10 - 13:20,121,3
13:10 - 13:20,122,2
13:10 - 13:20,123,2
13:10 - 13:20,124,2
13:10 - 13:20,125,3
13:10 - 13:20,126,2
13:10 - 13:20,127,5
13:10 - 13:20,128,2
13:10 - 13:20,129,4
13:10 - 13:20,130,2
13:10 - 13:20,131,3
13:10 - 13:20,132,2
13:10 - 13:20,133,4
13:10 - 13:20,134,3
13:10 - 13:20,135,1
13:20 - 13:30,136,3
13:20 - 13:30,137,3
13:20 - 13:30,138,5
13:20 - 13:30,139,3
13:20 - 13:30,140,3
13:20 - 13:30,141,1
13:20 - 13:30,142,1
13:20 - 13:30,143,1
13:20 - 13:30,144,1
13:20 - 13:30,145,2
13:20 - 13:30,146,4
13:20 - 13:30,147,4
13:20 - 13:30,148,3
13:20 - 13:30,149,4
13:20 - 13:30,150,1
13:20 - 13:30,151,3
13:20 - 13:30,152,3
13:20 - 13:30,153,3
13:20 - 13:30,154,4
13:30 - 13:40,155,2
13:30 - 13:40,156,4
13:30 - 13:40,157,2
13:30 - 13:40,158,2
13:30 - 13:40,159,2
13:30 - 13:40,160,4
13:30 - 13:40,161,3
13:30 - 13:40,162,1
13:30 - 13:40,163,4
13:30 - 13:40,164,3
13:30 - 13:40,165,3
13:30 - 13:40,166,4
13:30 - 13:40,167,2
13:30 - 13:40,168,1
13:30 - 13:40,169,2
13:30 - 13:40,170,3
13:30 - 13:40,171,2
13:40 - 13:50,172,2
13:40 - 13:50,173,2
13:40 - 13:50,174,3
13:40 - 13:50,175,5
13:40 - 13:50,176,4
13:40 - 13:50,177,4
13:40 - 13:50,178,5
13:40 - 13:50,179,4
13:40 - 13:50,180,2
13:40 - 13:50,181,4
13:40 - 13:50,182,2
13:40 - 13:50,183,2
13:40 - 13:50,184,3
13:50 - 14:00,185,2
13:50 - 14:00,186,2
13:50 - 14:00,187,3
13:50 - 14:00,188,2
13:50 - 14:00,189,4
13:50 - 14:00,190,3
13:50 - 14:00,191,2
13:50 - 14:00,192,3
13:50 - 14:00,193,2
13:50 - 14:00,194,3
13:50 - 14:00,195,4
14:00 - 14:10,196,1
14:00 - 14:10,197,2
14:00 - 14:10,198,3
14:00 - 14:10,199,1
14:00 - 14:10,200,2
14:00 - 14:10,201,3
14:00 - 14:10,202,1
14:00 - 14:10,203,2
14:00 - 14:10,204,2
14:00 - 14:10,205,5
14:00 - 14:10,206,1
14:10 - 14:20,207,3
14:10 - 14:20,208,3
14:10 - 14:20,209,2
14:10 - 14:20,210,3
14:10 - 14:20,211,3
14:20 - 14:30,212,3
14:20 - 14:30,213,3
14:20 - 14:30,214,3
14:30 - 14:40,215,3
14:30 - 14:40,216,5
14:40 - 14:50,217,3
14:40 - 14:50,218,2
14:50 - 15:00,219,3
14:50 - 15:00,220,3
14:50 - 15:00,221,3
14:50 - 15:00,222,3
15:00 - 15:10,223,2
15:00 - 15:10,224,4
15:00 - 15:10,225,2
15:00 - 15:10,226,5
15:10 - 15:20,227,4
15:10 - 15:20,228,5
15:10 - 15:20,229,3
15:10 - 15:20,230,5
15:20 - 15:30,231,3
15:20 - 15:30,232,2
15:20 - 15:30,233,1
15:20 - 15:30,234,1
15:20 - 15:30,235,5
15:20 - 15:30,236,2
15:20 - 15:30,237,2
15:20 - 15:30,238,4
15:30 - 15:40,239,2
15:30 - 15:40,240,3
15:30 - 15:40,241,2
15:30 - 15:40,242,4
15:30 - 15:40,243,1
15:30 - 15:40,244,2
15:30 - 15:40,245,3
15:30 - 15:40,246,3
15:30 - 15:40,247,4
15:40 - 15:50,248,3
15:40 - 15:50,249,2
15:40 - 15:50,250,3
15:40 - 15:50,251,5
15:40 - 15:50,252,5
15:40 - 15:50,253,4
15:40 - 15:50,254,3
15:50 - 16:00,255,3
15:50 - 16:00,256,3
15:50 - 16:00,257,3
15:50 - 16:00,258,2
15:50 - 16:00,259,2
15:50 - 16:00,260,4
15:50 - 16:00,261,5
15:50 - 16:00,262,4
16:00 - 16:10,263,2
16:00 - 16:10,264,5
16:00 - 16:10,265,4
16:00 - 16:10,266,1
16:00 - 16:10,267,3
16:00 - 16:10,268,3
16:00 - 16:10,269,2
16:00 - 16:10,270,3
16:00 - 16:10,271,1
16:00 - 16:10,272,3
16:10 - 16:20,273,3
16:10 - 16:20,274,3
16:10 - 16:20,275,4
16:10 - 16:20,276,4
16:10 - 16:20,277,4
16:10 - 16:20,278,1
16:10 - 16:20,279,3
16:20 - 16:30,280,4
16:20 - 16:30,281,2
16:20 - 16:30,282,4
16:20 - 16:30,283,2
16:20 - 16:30,284,2
16:20 - 16:30,285,2
16:20 - 16:30,286,5
16:30 - 16:40,287,3
16:30 - 16:40,288,4
16:30 - 16:40,289,3
16:30 - 16:40,290,2
16:30 - 16:40,291,4
16:30 - 16:40,292,2
16:40 - 16:50,293,3
16:40 - 16:50,294,2
16:40 - 16:50,295,2
16:40 - 16:50,296,1
16:40 - 16:50,297,1
16:40 - 16:50,298,3
16:40 - 16:50,299,1
16:40 - 16:50,300,2
16:50 - 17:00,301,4
16:50 - 17:00,302,3
16:50 - 17:00,303,3
16:50 - 17:00,304,5
17:00 - 17:10,305,3
17:00 - 17:10,306,1
17:00 - 17:10,307,2
17:00 - 17:10,308,4
17:00 - 17:10,309,5
17:00 - 17:10,310,3
17:10 - 17:20,311,2
17:10 - 17:20,312,1
17:10 - 17:20,313,4
17:10 - 17:20,314,1
17:10 - 17:20,315,5
17:10 - 17:20,316,2
17:10 - 17:20,317,4
17:20 - 17:30,318,3
17:20 - 17:30,319,3
17:20 - 17:30,320,1
17:20 - 17:30,321,3
17:20 - 17:30,322,1
17:20 - 17:30,323,3
17:20 - 17:30,324,3
17:20 - 17:30,325,4
17:20 - 17:30,326,4
17:30 - 17:40,327,2
17:30 - 17:40,328,4
17:30 - 17:40,329,2
17:30 - 17:40,330,4
17:30 - 17:40,331,3
17:30 - 17:40,332,1
17:30 - 17:40,333,1
17:30 - 17:40,334,3
17:30 - 17:40,335,3
17:40 - 17:50,336,1
17:40 - 17:50,337,5
17:40 - 17:50,338,3
17:40 - 17:50,339,4
17:40 - 17:50,340,3
17:40 - 17:50,341,3
17:40 - 17:50,342,5
17:50 - 18:00,343,2
17:50 - 18:00,344,3
17:50 - 18:00,345,5
17:50 - 18:00,346,2
17:50 - 18:00,347,5
18:00 - 18:10,348,4
18:00 - 18:10,349,5
18:00 - 18:10,350,1
18:10 - 18:20,351,1
18:10 - 18:20,352,5
18:10 - 18:20,353,4
18:20 - 18:30,354,5
18:30 - 18:40,355,3
18:40 - 18:50,356,2
