time_band,group_id,size
10:20 - 10:30,1,1
10:30 - 10:40,2,3
10:40 - 10:50,3,3
10:50 - 11:00,4,1
10:50 - 11:00,5,4
10:50 - 11:00,6,4
11:00 - 11:10,7,3
11:00 - 11:10,8,2
11:00 - 11:10,9,3
11:00 - 11:10,10,2
11:00 - 11:10,11,4
11:00 - 11:10,12,3
11:00 - 11:10,13,3
11:10 - 11:20,14,4
11:10 - 11:20,15,4
11:10 - 11:20,16,5
11:10 - 11:20,17,2
11:10 - 11:20,18,3
11:10 - 11:20,19,1
11:10 - 11:20,20,3
11:10 - 11:20,21,2
11:10 - 11:20,22,3
11:10 - 11:20,23,3
11:20 - 11:30,24,4
11:20 - 11:30,25,2
11:20 - 11:30,26,1
11:20 - 11:30,27,3
11:20 - 11:30,28,1
11:20 - 11:30,29,4
11:20 - 11:30,30,4
11:20 - 11:30,31,1
11:20 - 11:30,32,1
11:20 - 11:30,33,3
11:20 - 11:30,34,3
11:20 - 11:30,35,3
11:20 - 11:30,36,1
11:20 - 11:30,37,2
11:30 - 11:40,38,2
11:30 - 11:40,39,3
11:30 - 11:40,40,4
11:30 - 11:40,41,4
11:30 - 11:40,42,3
11:30 - 11:40,43,3
11:30 - 11:40,44,2
11:30 - 11:40,45,3
11:30 - 11:40,46,3
11:30 - 11:40,47,3
11:30 - 11:40,48,2
11:30 - 11:40,49,3
11:30 - 11:40,50,4
11:40 - 11:50,51,3
11:40 - 11:50,52,3
11:40 - 11:50,53,2
11:40 - 11:50,54,3
11:40 - 11:50,55,3
11:40 - 11:50,56,3
11:40 - 11:50,57,4
11:40 - 11:50,58,4
11:40 - 11:50,59,5
11:40 - 11:50,60,2
11:40 - 11:50,61,2
11:50 - 12:00,62,4
11:50 - 12:00,63,3
11:50 - 12:00,64,4
11:50 - 12:00,65,2
11:50 - 12:00,66,2
11:50 - 12:00,67,5
11:50 - 12:00,68,2
11:50 - 12:00,69,4
11:50 - 12:00,70,1
12:00 - 12:10,71,4
12:00 - 12:10,72,3
12:00 - 12:10,73,3
12:00 - 12:10,74,4
12:10 - 12:20,75,3
12:10 - 12:20,76,1
12:10 - 12:20,77,3
12:10 - 12:20,78,3
12:10 - 12:20,79,3
12:20 - 12:30,80,4
12:20 - 12:30,81,2
12:20 - 12:30,82,2
12:20 - 12:30,83,2
12:20 - 12:30,84,4
12:30 - 12:40,85,2
12:30 - 12:40,86,4
12:30 - 12:40,87,4
12:30 - 12:40,88,2
12:30 - 12:40,89,3
12:30 - 12:40,90,4
12:40 - 12:50,91,3
12:40 - 12:50,92,3
12:40 - 12:50,93,3
12:40 - 12:50,94,2
12:40 - 12:50,95,2
12:40 - 12:50,96,3
12:40 - 12:50,97,3
12:40 - 12:50,98,2
12:40 - 12:50,99,4
12:50 - 13:00,100,4
12:50 - 13:00,101,1
12:50 - 13:00,102,3
12:50 - 13:00,103,3
12:50 - 13:00,104,1
12:50 - 13:00,105,2
12:50 - 13:00,106,4
12:50 - 13:00,107,4
12:50 - 13:00,108,4
12:50 - 13:00,109,3
13:00 - 13:10,110,4
13:00 - 13:10,111,2
13:00 - 13:10,112,3
13:00 - 13:10,113,3
13:00 - 13:10,114,2
13:00 - 13:10,115,3
13:00 - 13:10,116,2
13:00 - 13:10,117,3
13:00 - 13:10,118,3
13:00 - 13:10,119,3
13:00 - 13:10,120,4
13:00 - 13:10,121,2
13:00 - 13:10,122,4
13:00 - 13:10,123,2
13:00 - 13:10,124,2
13:10 - 13:20,125,5
13:10 - 13:20,126,5
13:10 - 13:20,127,3
13:10 - 13:20,128,2
13:10 - 13:20,129,3
13:10 - 13:20,130,3
13:10 - 13:20,131,3
13:10 - 13:20,132,3
13:10 - 13:20,133,4
13:10 - 13:20,134,3
13:10 - 13:20,135,3
13:10 - 13:20,136,4
13:20 - 13:30,137,4
13:20 - 13:30,138,3
13:20 - 13:30,139,3
13:20 - 13:30,140,2
13:20 - 13:30,141,4
13:20 - 13:30,142,4
13:20 - 13:30,143,4
13:20 - 13:30,144,2
13:20 - 13:30,145,3
13:20 - 13:30,146,4
13:20 - 13:30,147,2
13:20 - 13:30,148,3
13:20 - 13:30,149,5
13:20 - 13:30,150,3
13:20 - 13:30,151,3
13:20 - 13:30,152,3
13:30 - 13:40,153,2
13:30 - 13:40,154,3
13:30 - 13:40,155,3
13:30 - 13:40,156,4
13:30 - 13:40,157,3
13:30 - 13:40,158,3
13:30 - 13:40,159,2
13:30 - 13:40,160,2
13:30 - 13:40,161,2
13:30 - 13:40,162,3
13:30 - 13:40,163,2
13:30 - 13:40,164,2
13:30 - 13:40,165,1
13:30 - 13:40,166,4
13:30 - 13:40,167,3
13:30 - 13:40,168,4
13:40 - 13:50,169,2
13:40 - 13:50,170,5
13:40 - 13:50,171,3
13:40 - 13:50,172,1
13:40 - 13:50,173,3
13:40 - 13:50,174,3
13:40 - 13:50,175,2
13:40 - 13:50,176,5
13:40 - 13:50,177,4
13:40 - 13:50,178,3
13:40 - 13:50,179,5
13:40 - 13:50,180,1
13:40 - 13:50,181,3
13:50 - 14:00,182,5
13:50 - 14:00,183,5
13:50 - 14:00,184,4
13:50 - 14:00,185,2
13:50 - 14:00,186,4
13:50 - 14:00,187,3
13:50 - 14:00,188,4
13:50 - 14:00,189,2
13:50 - 14:00,190,4
14:00 - 14:10,191,4
14:00 - 14:10,192,3
14:00 - 14:10,193,1
14:00 - 14:10,194,3
14:00 - 14:10,195,5
