customer_group_id,group_size,entry_time,queue_wait_time,service_start_time,service_time
0,2,10:05:34,00:00:00,00:00:00,00:00:00
1,2,10:25:38,00:00:00,00:00:00,00:00:00
2,4,10:33:07,00:00:00,00:00:00,00:00:00
3,3,10:48:38,00:00:00,00:00:00,00:00:00
4,2,10:50:44,00:00:00,00:00:00,00:00:00
7,2,10:51:49,00:00:00,00:00:00,00:00:00
6,2,10:52:20,00:00:00,00:00:00,00:00:00
5,2,10:58:44,00:00:00,00:00:00,00:00:00
8,1,11:00:45,00:00:00,00:00:00,00:00:00
13,3,11:01:10,00:00:00,00:00:00,00:00:00
14,2,11:03:01,00:00:00,00:00:00,00:00:00
12,3,11:04:24,00:00:00,00:00:00,00:00:00
9,3,11:04:50,00:00:00,00:00:00,00:00:00
11,2,11:05:07,00:00:00,00:00:00,00:00:00
16,2,11:08:25,00:00:00,00:00:00,00:00:00
10,2,11:09:19,00:00:00,00:00:00,00:00:00
15,1,11:09:23,00:00:00,00:00:00,00:00:00
19,1,11:10:30,00:00:00,00:00:00,00:00:00
27,3,11:10:56,00:00:00,00:00:00,00:00:00
28,5,11:11:13,00:00:00,00:00:00,00:00:00
21,2,11:11:19,00:00:00,00:00:00,00:00:00
25,5,11:11:30,00:00:00,00:00:00,00:00:00
20,4,11:12:08,00:00:00,00:00:00,00:00:00
24,2,11:12:28,00:00:00,00:00:00,00:00:00
23,2,11:13:21,00:00:00,00:00:00,00:00:00
26,2,11:13:44,00:00:00,00:00:00,00:00:00
17,1,11:14:22,00:00:00,00:00:00,00:00:00
22,2,11:15:53,00:00:00,00:00:00,00:00:00
18,1,11:17:32,00:00:00,00:00:00,00:00:00
32,2,11:20:25,00:00:00,00:00:00,00:00:00
31,2,11:20:55,00:00:00,00:00:00,00:00:00
36,2,11:21:17,00:00:00,00:00:00,00:00:00
39,2,11:21:59,00:00:00,00:00:00,00:00:00
38,2,11:23:19,00:00:00,00:00:00,00:00:00
33,3,11:23:23,00:00:00,00:00:00,00:00:00
40,2,11:23:33,00:00:00,00:00:00,00:00:00
35,1,11:23:39,00:00:00,00:00:00,00:00:00
29,3,11:23:52,00:00:00,00:00:00,00:00:00
30,5,11:24:03,00:00:00,00:00:00,00:00:00
37,3,11:25:30,00:00:00,00:00:00,00:00:00
34,2,11:29:01,00:00:00,00:00:00,00:00:00
41,4,11:29:29,00:00:00,00:00:00,00:00:00
54,2,11:30:57,00:00:00,00:00:00,00:00:00
44,3,11:31:28,00:00:00,00:00:00,00:00:00
43,2,11:32:32,00:00:00,00:00:00,00:00:00
52,3,11:33:16,00:00:00,00:00:00,00:00:00
45,4,11:33:18,00:00:00,00:00:00,00:00:00
55,2,11:33:37,00:00:00,00:00:00,00:00:00
51,3,11:33:45,00:00:00,00:00:00,00:00:00
42,2,11:34:35,00:00:00,00:00:00,00:00:00
46,2,11:35:06,00:00:00,00:00:00,00:00:00
53,3,11:36:33,00:00:00,00:00:00,00:00:00
48,4,11:37:02,00:00:00,00:00:00,00:00:00
49,2,11:37:27,00:00:00,00:00:00,00:00:00
47,1,11:37:50,00:00:00,00:00:00,00:00:00
